FIRSTNAME,LASTNAME,SALARY
Steven,King,24000.00
Neena,Kochhar,17000.00
Lex,De Haan,17000.00
Alexander,Hunold,9000.00
Bruce,Ernst,6000.00
David,Austin,4800.00
Valli,Pataballa,4800.00
Diana,Lorentz,4200.00
Daniel,Faviet,9000.00
John,Chen,8200.00
Ismael,Sciarra,7700.00
Jose Manuel,Urman,7800.00
Luis,Popp,6900.00
Alexander,Khoo,3100.00
Shelli,Baida,2900.00
Sigal,Tobias,2800.00
Guy,Himuro,2600.00
Karen,Colmenares,2500.00
Matthew,Weiss,8000.00
Adam,Fripp,8200.00
Payam,Kaufling,7900.00
Shanta,Vollman,6500.00
Kevin,Mourgos,5800.00
Julia,Nayer,3200.00
Irene,Mikkilineni,2700.00
James,Landry,2400.00
Steven,Markle,2200.00
Laura,Bissot,3300.00
Mozhe,Atkinson,2800.00
James,Marlow,2500.00
TJ,Olson,2100.00
Jason,Mallin,3300.00
Michael,Rogers,2900.00
Ki,Gee,2400.00
Hazel,Philtanker,2200.00
Renske,Ladwig,3600.00
Stephen,Stiles,3200.00
John,Seo,2700.00
Joshua,Patel,2500.00
Trenna,Rajs,3500.00
Curtis,Davies,3100.00
Randall,Matos,2600.00
Peter,Vargas,2500.00
David,Bernstein,9500.00
Peter,Hall,9000.00
Christopher,Olsen,8000.00
Nanette,Cambrault,7500.00
Oliver,Tuvault,7000.00
Patrick,Sully,9500.00
Allan,McEwen,9000.00
Lindsey,Smith,8000.00
Louise,Doran,7500.00
Sarath,Sewall,7000.00
Danielle,Greene,9500.00
Mattea,Marvins,7200.00
David,Lee,6800.00
Sundar,Ande,6400.00
Amit,Banda,6200.00
Tayler,Fox,9600.00
William,Smith,7400.00
Elizabeth,Bates,7300.00
Sundita,Kumar,6100.00
Alyssa,Hutton,8800.00
Jonathon,Taylor,8600.00
Jack,Livingston,8400.00
Kimberely,Grant,7000.00
Charles,Johnson,6200.00
Winston,Taylor,3200.00
Jean,Fleaur,3100.00
Martha,Sullivan,2500.00
Girard,Geoni,2800.00
Nandita,Sarchand,4200.00
Alexis,Bull,4100.00
Julia,Dellinger,3400.00
Anthony,Cabrio,3000.00
Kelly,Chung,3800.00
Jennifer,Dilly,3600.00
Timothy,Gates,2900.00
Randall,Perkins,2500.00
Sarah,Bell,4000.00
Britney,Everett,3900.00
Samuel,McCain,3200.00
Vance,Jones,2800.00
Alana,Walsh,3100.00
Kevin,Feeney,3000.00
Donald,OConnell,2600.00
Douglas,Grant,2600.00
Jennifer,Whalen,4400.00
Pat,Fay,6000.00
Susan,Mavris,6500.00
William,Gietz,8300.00
